year,state,county,state_name,county_name,population,pctl_20,pctl_50,pctl_80,pctl_quality,share_debt_coll,share_debt_coll_ub,share_debt_coll_lb,share_debt_coll_quality,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,housing_quality,homeless_count,homeless_share,homeless_count_lb,homeless_count_ub,homeless_quality,share_burdened_80_ami,share_burdened_80_ami_ub,share_burdened_80_ami_lb,share_burdened_50_ami,share_burdened_50_ami_ub,share_burdened_50_ami_lb,share_burdened_30_ami,share_burdened_30_ami_ub,share_burdened_30_ami_lb,rent_quality,famstruc_2par_married,famstruc_2par_married_ub,famstruc_2par_married_lb,famstruc_2par_unmarried,famstruc_2par_unmarried_ub,famstruc_2par_unmarried_lb,famstruc_1par_plusadults,famstruc_1par_plusadults_ub,famstruc_1par_plusadults_lb,famstruc_1par_noadults,famstruc_1par_noadults_ub,famstruc_1par_noadults_lb,famstruc_0par_2adults,famstruc_0par_2adults_ub,famstruc_0par_2adults_lb,famstruc_0par_other,famstruc_0par_other_ub,famstruc_0par_other_lb,famstruc_quality,hpsa_yn,hpsa_yn_quality,lbw,lbw_lb,lbw_ub,lbw_quality,asian_other,asian_other_quality,black_nonhispanic,black_nonhispanic_quality,hispanic,hispanic_quality,white_nonhispanic,white_nonhispanic_quality,election_turnout,election_turnout_quality,environmental,environmental_quality,poverty_exposure,poverty_exposure_quality,black_nh_exposure,black_nh_exposure_quality,hispanic_exposure,hispanic_exposure_quality,other_nh_exposure,other_nh_exposure_quality,white_nh_exposure,white_nh_exposure_quality,transit_cost,transit_trips,transit_cost_quality,transit_trips_quality,violent_crime_rate,property_crime_rate,crime_rate_quality,juvenile_arrest_rate,juvenile_arrest_rate_quality,share_hs_degree,share_hs_degree_ub,share_hs_degree_lb,hs_degree_quality,share_in_preschool,share_in_preschool_ub,share_in_preschool_lb,preschool_quality,learning_rate,learning_rate_lb,learning_rate_ub,learning_rate_quality,frpl40_total,poverty_measure_used,frpl40_total_quality,frpl40_white,frpl40_white_quality,frpl40_black,frpl40_black_quality,frpl40_hispanic,frpl40_hispanic_quality,share_employed,share_employed_ub,share_employed_lb,employed_quality,average_to_living_wage_ratio,wage_ratio_quality
2014,13,121,Georgia,Fulton County,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4207129917,1.1680877552,1.0222487063,1,4508,0.030297125,4508,4508,1,0.4168420566,0.4455258776,0.3881582356,0.5955750443,0.6294575695,0.5616925191,0.6845340333,0.7203695435,0.6486985232,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.012587506592077,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1858867,1
2014,17,031,Illinois,Cook County,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3481846708,1.1648802493,0.864597598,1,26737,0.035027891,26732,26742,1,0.4161209214,0.4305921694,0.4016496734,0.556956577,0.5739749047,0.5399382492,0.6942811577,0.7129124662,0.6756498493,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.496965038691908,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94795668,1
2014,24,510,Maryland,Baltimore city,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38219191,1.2799450106,1.0843852927,1,2079,0.024349395,2079,2079,1,0.3768928992,0.4074374092,0.3463483892,0.4714939762,0.5067761997,0.4362117527,0.639767344,0.6804854921,0.599049196,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7112383511364,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91182595,1
2014,42,101,Pennsylvania,Philadelphia County,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3373188693,1.2731918595,1.0229543472,1,4059,0.021853598,4037,4081,1,0.4245661535,0.4508359678,0.3982963392,0.5485998939,0.5786003091,0.5185994787,0.6888380878,0.7214968119,0.6561793638,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.250980658340444,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9814328,1
2015,13,121,Georgia,Fulton County,1010562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,779.36829,4715.792,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9408977,0.91367841,0.968117,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,17,031,Illinois,Cook County,5238216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560.11438,2423.9167,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1297832,1.1070415,1.1525248,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,24,510,Maryland,Baltimore city,621849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1557.452,5095.1274,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68932289,0.57930321,0.79934257,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,42,101,Pennsylvania,Philadelphia County,1567442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1029.9584,3152.2061,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94933671,0.91748798,0.98118544,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,13,121,Georgia,Fulton County,1023336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6170265109526636,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.02,77.96,1,1,NA,NA,NA,3022.1445,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,17,031,Illinois,Cook County,5203499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6147579617380903,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.17,81.47,1,1,NA,NA,NA,1845.2437,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,24,510,Maryland,Baltimore city,614664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5179675245296899,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.83,90.42,1,1,NA,NA,NA,5091.4819,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,42,101,Pennsylvania,Philadelphia County,1567872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6316272883882428,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.07,92.84,1,1,NA,NA,NA,4.8367596,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,13,121,Georgia,Fulton County,1041423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689.53729,4417.0332,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,17,031,Illinois,Cook County,5211263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,670.7395,2534.1458,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,24,510,Maryland,Baltimore city,611648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2053.4688,5043.4238,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,42,101,Pennsylvania,Philadelphia County,1580863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,945.24323,3053.7751,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,13,121,Georgia,Fulton County,1050114,28366.72,70916.79,162095.5,1,0.3416547,0.3489894,0.3343201,1,1.513380091,1.0049475999,0.69747840270000006,1,3741,0.02524513,3740,3742,1,0.3987379794,0.430190606,0.3672853528,0.5754714548,0.6134990677,0.5374438418,0.6722518068,0.7144647282,0.6300388854,1,0.5751423171,0.5982961235,0.5519885106,0.0514902424,0.0618415775,0.0411389073,0.0512513089,0.0615798998,0.0409227181,0.2906753738,0.3119440097,0.2694067378,0.0069887132,0.0108907261,0.0030867003,0.0244520447,0.0316863178,0.0172177716,1,NA,NA,0.11636738,0.11077731,0.12195744,1,0,3,0,3,0,3,1.7266986315604247,3,NA,NA,NA,NA,0.20460203999678744,1,0.2534155889098066,1,0.8260143928301934,1,0.7882244967701986,1,0.36488133806842954,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8435957305,0.9029246329,0.7842668281,1,0.5422999646,0.6167563774,0.4678435518,1,NA,NA,NA,NA,0.57122761,FRPL,1,0.11458053,1,0.85948712,1,0.56798059,1,0.8288386003,0.84079547080000006,0.8168817299,1,1.2381597,1
2018,17,031,Illinois,Cook County,5180493,24314.33,62710.7,135045.8,1,0.3095272,0.3126573,0.3063971,1,1.3396633816,1.1655458963,0.6743223274,1,24712,0.034220085,24705,24719,1,0.3649143858,0.3795824384,0.3502463332,0.4966224306,0.5146683403,0.4785765208,0.6573901096,0.6785251359,0.6362550833,1,0.6079978066,0.6187160142,0.597279599,0.0582651686,0.0634079223,0.0531224148,0.0499116361,0.0546925378,0.0451307344,0.2482571704,0.2577416271,0.2387727137,0.0074987077,0.0093927325,0.0056046829,0.0280695106,0.0316957956,0.0244432256,1,NA,NA,0.089646012,0.087392844,0.091899179,1,0.31929506731799573,3,0.19906553850348663,3,0.11337310679220708,3,1.580881970474573,3,NA,NA,NA,NA,0.11501246754582144,1,0.29392159917460325,1,0.4651115901683979,1,0.7911721135694001,1,0.36018985499315415,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8859664044,0.9109460295,0.8609867794,1,0.5480846718,0.5813475028,0.5148218407,1,NA,NA,NA,NA,0.6945799,FRPL,1,0.3266874,1,0.89421558,1,0.85631996,1,0.80812399,0.8141295426,0.8021184374,1,1.0021685,1
2018,24,510,Maryland,Baltimore city,602495,16817.41,50654.85,107894.8,1,0.5132135,0.5232863,0.5031407,1,1.3966565748,1.2882703069,0.9401974256,1,2928,0.036737304,2928,2928,1,0.3541904335,0.387188611,0.321192256,0.4422244422,0.4807329556,0.4037159288,0.5839511475,0.6295436388,0.5383586563,1,0.4269232938,0.4609662251,0.3928803626,0.0884686964,0.1080132723,0.0689241204,0.0809761285,0.099751457,0.0622008,0.3551799425,0.3881173285,0.3222425565,0.0046083321,0.0092697123,0,0.0438436067,0.0579353022,0.0297519113,1,NA,NA,0.11864407,0.11140709,0.12588105,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1762724231345427,1,0.19950405393514312,1,0.8430125659401144,1,0.8900574518986212,1,0.44573986472622873,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8135985686,0.9082722145,0.7189249226,1,0.5160723397,0.6176410906,0.4145035888,1,NA,NA,NA,NA,1,FRPL,1,1,1,1,1,1,1,0.7862616654,0.8035460312,0.7689772996,1,0.94243962,1
2018,42,101,Pennsylvania,Philadelphia County,1584138,15703,45619.76,101309.7,1,0.433035,0.4393457,0.4267243,1,1.3500729847,1.2313152387,0.8517062827,1,4320,0.022279412,4302,4338,1,0.4564533246,0.4847422727,0.4281643764,0.5686387764,0.6005904792,0.5366870736,0.6992567181,0.7338266891,0.6646867472,1,0.3915783123,0.4161815257,0.3669750989,0.0716871306,0.0846902623,0.0586839989,0.1025925347,0.1178869505,0.0872981188,0.3764119007,0.4008327497,0.3519910518,0.0074072419,0.0117293337,0.0030851501,0.0503228798,0.0613421011,0.0393036584,1,NA,NA,0.11065375,0.10637502,0.11493248,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34639630533012317,1,0.30776195285466035,1,0.6267857692072534,1,0.8178039378965392,1,0.3860827110149551,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8288463881,0.8825440317,0.7751487445,1,0.5529151569,0.6263705959,0.479459718,1,NA,NA,NA,NA,0.99036181,Both,3,0.94863927,3,0.99735481,3,0.99755979,3,0.7420151976,0.7566789959,0.7273513992,1,1.012476,1
