metric_name,metric_vars_prefix,quality_variable,ci_var,subgroup_id,metrics_description,source_data,source_data2,notes,notes2,notes3,years
Housing affordability,share_affordable,share_affordable_quality,3,none,"Metric: Ratio of affordable and available housing units (per 100 households) with low-, very low-, and extremely low-income levels","US Department of Housing and Urban Development Office of Policy Development and Research Fair Market Rents and Income Limits, FY 2021; US Census Bureau’s 2021 1-Year American Community Survey Public Use Microdata Sample (via IPUMS); Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time period: 2021)","US Department of Housing and Urban Development Office of Policy Development and Research Fair Market Rents and Income Limits, FY 2018 & FY 2021; US Census Bureau’s 2018 & 2021 5-Year American Community Survey Public Use Microdata Sample (via IPUMS); Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time periods: 2014-18 & 2017-21)","This metric reports the number of housing units affordable for households with low-incomes (below 80 percent of area median income, or AMI), very low-incomes (below 50 percent of AMI), and extremely low-incomes (below 30 percent of AMI) relative to every 100 households with these income levels. Income groups are defined for a local family of 4. Housing units are defined as affordable if the monthly costs do not exceed 30 percent of a household's income. Values above 100 suggest that there are more affordable housing units than households with those income levels. Values below 100 indicate a shortage of affordable housing for households with those income levels. Housing units are counted as affordable for a given income level regardless of whether they are currently occupied by a household at that income level.",,,2021
Housing instability,"count_homeless, share_homeless",homeless_quality,1,none,Metric: Number and share of public-school children who are ever homeless during the school year,"US Department of Education Local Education Agency data, SY 2019-20 (via EDFacts Homeless Students Enrolled). (Time period: School Year 2019-20)","US Department of Education Local Education Agency data, SY 2018-19 & SY 2019-20 (via EDFacts Homeless Students Enrolled). (Time periods: School Years 2018-19 & 2019-20)","The number of homeless students is based on the number of children (age 3 through 12th grade) who are enrolled in public schools and whose primary nighttime residence at any time during a school year was a shelter, transitional housing, or awaiting foster care placement; unsheltered (e.g., a car, park, campground, temporary trailer, or abandoned building); a hotel or motel because of the lack of alternative adequate accommodations; or in housing of other people because of loss of housing, economic hardship, or a similar reason. The share is the percent of public-school students who are experiencing homelessness out of all public-school students.",Data disaggregated by race/ethnicity became available for the first time in SY 2019-20.,,"2016, 2019"
Economic inclusion,share_poverty_exposure,share_poverty_exposure_quality,3,race_poverty,Metric: Share of people experiencing poverty who live in high-poverty neighborhoods,US Census Bureau’s 2021 5-Year American Community Survey; Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time period: 2017-2021),,"The share of a city's or county's residents living in poverty who also live in high-poverty neighborhoods (defined as census tracts). A high-poverty neighborhood is one in which over 40 percent of the residents live in poverty. People and families are classified as being in poverty if their income (before taxes and excluding capital gains or noncash benefits) is less than their poverty threshold, as defined by the US Census Bureau. Poverty thresholds vary by the size of the family and age of its members and are updated for inflation, but do not vary geographically.",<br><br>'Black' includes Black Hispanics. 'Other Races and Ethnicities' includes those of races not explicitly listed and those of multiple races. Those who identify as other race or multiple races and Hispanic are counted in both the 'Hispanic' and 'Other Races and Ethnicities' categories.,,2021
Racial diversity,"share_black_nh_exposure, share_hispanic_exposure, share_other_nh_exposure, share_white_nh_exposure","share_black_nh_exposure_quality, share_hispanic_exposure_quality, share_other_nh_exposure_quality, share_white_nh_exposure_quality",3,none,Metric: Index of people’s exposure to neighbors of different races and ethnicities,US Census Bureau’s 2021 5-Year American Community Survey; Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time period: 2017-21),,"A set of metrics constructed separately for each racial/ethnic group and reports the average share of that group's neighbors who are members of other racial/ethnic groups. This is a type of exposure index. For example, an exposure index of 90.0% in the '% for Black, Non-Hispanic' row means that the average Black, non-Hispanic resident has 90.0% of their neighbors within a census tract who have a different race/ethnicity than them. The higher the value, the more exposed to people of different races/ethnicities.",,,2021
Social capital1,count_membership_associations_per_10k,count_membership_associations_per_10k_quality,3,none,"Metric: Number of membership associations per 10,000 people","US Census Bureau’s County Business Patterns Survey, 2020 and Population Estimation Program, 2016-20; Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time period: 2016-20)",,"This metric measures the number of membership associations (as self-reported by businesses and organizations) per 10,000 people in a given community.",,,2020
Social capital2,ratio_high_low_ses_fb_friends,ratio_high_low_ses_fb_friends_quality,3,none,Metric: Ratio of Facebook friends with higher socioeconomic status to Facebook friends with lower socioeconomic status (‘economic connectedness’),"Opportunity Insights’ Social Capital Atlas, 2022. (Time period: 2022)",,"This measures the interconnectivity, by location, between people from different economic backgrounds to estimate ‘economic connectedness.’ Specifically, the metric is twice the average share of high-socioeconomic status (SES) friends (e.g., individuals from households ranked in the top half of all income-earning households) among low-SES individuals (e.g., individuals from households ranked in the lower half of all US households based on income) in a given community. A metric value of 1 represents a community that is perfectly integrated across socioeconomic status, with half of all low-SES individuals’ friends being of high-SES.",,,2022
Access to preschool,share_in_preschool,share_in_preschool_quality,3,race_ethnicity,Metric: Share of (3- to 4-year-old) children enrolled in nursery school or preschool,US Census Bureau’s 2021 5-Year American Community Survey Public Use Microdata Sample (via IPUMS); Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time period: 2017-21),US Census Bureau’s 2018 & 2021 5-Year American Community Survey (via IPUMS); Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time period: 2014-18 & 2017-21),The share of a community's children aged three to four who are enrolled in nursery or preschool.,,,2021
Effective public education,rate_learning,rate_learning_quality,1,"race_ethnicity, income",Metric: Average per grade change in English Language Arts achievement between third and eighth grades,"Stanford Education Data Archive, SY 2017-18 (Version 4.1; Reardon, S. F. et al. 2021; retrieved from http://purl.stanford.edu/db586ns4974). (Time period: School Year 2017-18)","Stanford Education Data Archive, SY 2016-17 & SY 2017-18 (Version 4.1; Reardon, S. F. et al. 2021; retrieved from http://purl.stanford.edu/db586ns4974). (Time period: School Years 2016-17 & 2017-18)","The average per year improvement in English/language arts (reading comprehension and written expression) among public school students between the third and eighth grades. Assessments are normalized such that a typical learning growth is roughly 1 grade level per year. '1' indicates a community is learning at an average rate; below 1 is slower than average, and above 1 is faster than average.","<br><br>Research suggests that annual improvement in English for Hispanic children will exceed those of White, Non-Hispanic children because Hispanic children, on average, start with lower levels of English language skills and can improve more quickly than children with higher baseline skills.","<br><br>Research suggests that annual improvement in English for students in low-income or economically disadvantaged households will exceed those of non-economically disadvantaged households because students in less advantaged households, on average, start with lower levels of English language skills and can improve more quickly than children with higher baseline skills. 'Low-income' means students are determined to be eligible for their schools' free and reduced-price meals under the National School Lunch Program.","2016, 2017"
School economic diversity,"meps20_white, meps20_black, meps20_hispanic","meps20_white_quality, meps20_black_quality, meps20_hispanic_quality",3,none,"Metric: Share of students attending high-poverty schools, by student race/ethnicity ","National Center for Education Statistics Common Core of Data, SY 2018-19; Urban Institute’s Modeled Estimates of Poverty in Schools (via Education Data Portal v. 0.17.0, Urban Institute, under ODC Attribution License). (Time period: School Year 2018-19)","National Center for Education Statistics Common Core of Data, SY 2017-18 & 2018-19; Urban Institute’s Modeled Estimates of Poverty in Schools (via Education Data Portal v. 0.17.0, Urban Institute, under ODC Attribution License). (Time periods: School Years 2017-18 & 2018-19)",This set of metrics is constructed separately for each racial/ethnic group and reports the share of students attending schools in which over 20 percent of students come from households earning at or below 100% of the Federal Poverty Level.,,,"2016, 2018"
Preparation for college,share_hs_degree,share_hs_degree_quality,3,race_ethnicity,Metric: Share of 19- and 20-year-olds with a high school degree,US Census Bureau’s 2021 5-Year American Community Survey Public Use Microdata Sample (via IPUMS); Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time period: 2017-21),US Census Bureau’s 2018 & 2021 5-Year American Community Survey Public Use Microdata Sample (via IPUMS); Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time period: 2014-18 & 2017-21),The share of 19- and 20-year-olds in a community who have a high school degree.,,,2021
Digital access,share_digital_access,share_digital_access_quality,2,race,Metric: Share of people in households with broadband access in the home,US Census Bureau’s 2021 5-Year American Community Survey. (Time period: 2017-2021),,This metric represents the share of people in households with access to broadband in their home.,,,2021
Employment opportunities,share_employed,share_employed_quality,3,race_ethnicity,Metric: Employment-to-population ratio for adults ages 25 to 54,US Census Bureau’s 2021 5-Year American Community Survey Public Use Microdata Sample (PUMS) (via IPUMS); Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time period: 2017-21),US Census Bureau’s 2018 & 2021 5-Year American Community Survey Public Use Microdata Sample (via IPUMS); Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time period: 2014-18 & 2017-21),The share of adults between the ages of 25 and 54 in a given community who are employed.,,,2021
Opportunities for income,pctl_income,pctl_income_quality,2,race_ethnicity,"Metric: Household income at the 20th, 50th, and 80th percentiles",US Census Bureau’s 2021 1-Year American Community Survey Public Use Microdata Sample (via IPUMS); Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time Period: 2021),US Census Bureau’s 2018 & 2021 5-Year American Community Survey Public Use Microdata Sample (via IPUMS); Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time Periods: 2014-18 & 2017-21),"To identify income percentiles, all households are ranked by income from lowest to highest. The income level threshold for the poorest 20 percent of households is the value at the 20th percentile. The 50th percentile income threshold indicates the median, with half of households earning less and half of households earning more. The income level threshold for the richest 20 percent of households is the value at the 80th percentile. The difference in income between households at the 20th percentile and the 80th percentile illustrates the level of local economic inequality.",,,2021
Financial security,share_debt_col,share_debt_col_quality,3,race_share,Metric: Share with debt in collections,"August 2021 credit bureau data, from Urban Institute’s Financial Health and Wealth Dashboard. (Time period: August 2021)",,"The city-level measure captures the share of adults in an area with a credit bureau record with any derogatory debt, which is primarily debt in collections.","For city-level August 2021 data, ‘majority’ means that at least 50% of residents in a zip code are members of the specified population group.",,2021
Wealth-building opportunities,"ratio_black_nh_house_value_households, ratio_hispanic_house_value_households, ratio_other_nh_house_value_households, ratio_white_nh_house_value_households","ratio_black_nh_house_value_households_quality, ratio_hispanic_house_value_households_quality, ratio_other_nh_house_value_households_quality, ratio_white_nh_house_value_households_quality",3,none,Metric: Ratio of the share of a community’s housing wealth held by a racial or ethnic group to the share of households of the same group,US Census Bureau’s 2021 1-Year American Community Survey Public Use Microdata Sample (via IPUMS); Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time period: 2021),US Census Bureau’s 2018 & 2021 1-Year American Community Survey Public Use Microdata Sample (via IPUMS); Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time periods: 2018 & 2021),"The percentage to the left of the colon for a given racial group reflects their share of primary-residence housing wealth in a community, and the percentage to the right of the colon reflects the number of households who are headed by a member of that racial group as a share of the community’s total number of households. If the percentage on the left side of the colon is smaller than the percentage on the right side, then that group has less proportionate housing wealth compared to their presence in the community. The greater the gap between these percentages, the more inequality in housing wealth in the community. This metric is based on self-reported housing value, does not account for the extent of mortgage debt, and does not account for other important demographic variations such as differences in age composition across race and ethnic groups, and as such this metric may not fully reflect the size of the actual housing wealth gap.",,,"2018, 2021"
Environmental quality,air_quality_index,air_quality_index_quality,3,"race_share, poverty",Metric: Air quality index,"US Environmental Protection Agency’s AirToxScreen data, 2018 (based on 2017 National Emissions Inventory data); Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time period: 2017-18)","Environmental Protection Agency’s National Air Toxics Assessment data, 2014 and AirToxScreen data, 2018 (based on 2014 & 2017 National Emissions Inventory data); US Census Bureau’s 2014 & 2018 5-Year American Community Survey; Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time periods: 2010-14 & 2014-18)","The index is a linear combination of standardized EPA estimates of air quality carcinogenic, respiratory, and neurological hazards measured at the census tract level. Values are inverted and percentile ranked nationally and range from 0 to 100. The higher the index value, the less exposure to toxins harmful to human health.",<br><br>'Majority' means that at least 60% of residents in a census tract are members of the specified group. 'High poverty' means that 40% or more of people in a census tract live in families with incomes below the federal poverty line.,,"2014, 2018"
Political participation,share_election_turnout,share_election_turnout_quality,3,none,Metric: Share of the voting-age population who turn out to vote,"Voting and Election Science Team, Precinct-Level Election Results 2020 (via Harvard Dataverse); US Census Bureau’s 2020 5-Year American Community Survey Citizen Voting Age Population Special Tabulation; Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time period: 2016-20)",,This metric measures the share of the citizen voting-age population that voted in the most recent presidential election.,,,2020
Descriptive representation among local officials,"share_desc_rep_asian_other, share_desc_rep_black_nonhispanic, share_desc_rep_hispanic, share_desc_rep_white_nonhispanic","share_desc_rep_asian_other_quality, share_desc_rep_black_nonhispanic_quality, share_desc_rep_hispanic_quality, share_desc_rep_white_nonhispanic_quality",3,none,Metric: Ratio of the share of local elected officials of a racial or ethnic group to the share of residents of the same racial or ethnic group.<em>Part of this metric is shown. See the notes for information on finalizing this metric.</em>,US Census Bureau’s 2021 5-Year American Community Survey. (Time period: 2017-21),,"Shown are the share of that racial or ethnic group in your community. The community will need to calculate the missing percentages in order to complete the descriptive representation metric. See the [Planning Guide](https://upward-mobility.urban.org/boosting-upward-mobility-planning-guide-local-action) (pg. 27) on how to calculate the missing percentage. Say that of your 10 elected officials, nine are White, non-Hispanic and your community’s population is half White, non-Hispanic, the metric will read as “90.0%:50.0%.” If the share of local officials is higher than the share of people in the community, then this group is over-represented. If the share of local officials is lower than the share of people in the community, then this group is under-represented. We are presenting this as a ratio of percentages because it provides important context.<br><br>The quality index reflects the data quality only of the given value.",,,2021
Safety from crime,"rate_violent_crime, rate_property_crime",rate_crime_quality,3,none,"Metric: Reported property crimes per 100,000 people and reported violent crimes per 100,000 people",Federal Bureau of Investigations (FBI) National Incident Based Reporting System (via Kaplan J (2021). National Incident-Based Reporting System (NIBRS) Data. https://nibrsbook.com/); US Census Bureau’s 2021 1-Year American Community Survey. (Time period: 2021),,"Rates are calculated as the number of reported crimes against proprty or people per 100,000 people. Although these are the best national data source, communities should use their local data if they are available. The FBI cautions against using NIBRS data to rank or compare locales because there are many factors that cause the nature and type of crime to vary from place to place.",,,2021
Just policing,rate_juv_arrest,rate_juv_arrest_quality,3,race,"Metric: Juvenile arrests per 100,000 juveniles",Federal Bureau of Investigations (FBI) National Incident Based Reporting System (via Kaplan J (2021). National Incident-Based Reporting System (NIBRS) Data. https://nibrsbook.com/); US Census Bureau’s 2021 1-Year American Community Survey. (Time period: 2021),Federal Bureau of Investigations (FBI) National Incident Based Reporting System (via Kaplan J (2021). National Incident-Based Reporting System (NIBRS) Data. https://nibrsbook.com/); US Census Bureau’s 2021 1-Year American Community Survey. (Time period: 2021),"The number of arrests of people aged 10 to 17, for any crime or status offense, per 100,000 people of that age. Because people can be arrested multiple times, the data reports the number of arrests and not people. Although these are the best national data source, communities should use their local data if it is available. The FBI cautions against using NIBRS data to rank or compare locales because there are many factors that cause the nature and type of crime to vary from place to place.",<br><br>Ethnicity is inconsistently collected and often missing in the data. Those of multiple races are only included in 'Other Races.',,2021